Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
de18254d-1bbc-4954-846c-235f713b3bb1,"2020-07-15, 12:35:52 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
96548cf2-7b12-437b-991e-4c85f5ca5d49,"2020-07-15, 12:34:49 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
b0308cde-e36d-4274-ab35-dd844bdb3245,"2020-07-15, 12:33:12 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,72.217.79.176
d2d46e62-cbed-4604-b280-3f225bf9930c,"2020-07-15, 12:33:01 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,72.217.79.176
8fbc83a5-0750-414a-8fe8-577285de03fd,"2020-07-15, 12:31:45 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,72.217.79.176
b88a824e-2746-4a5d-a122-d144e69ea126,"2020-07-15, 12:31:45 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,72.217.79.176
312407a5-c379-447a-b9da-afc30e79a67f,"2020-07-15, 12:31:44 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATWEKTNQCTQLVVMCP6""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::253693750277:user/CloudTrail""}]",,us-east-1,,72.217.79.176
37d7eeca-65af-4e5c-94b4-2a313a6f6613,"2020-07-15, 12:31:44 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::253693750277:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATWEKTNQC3RBH7VZIX""}]",,us-east-1,,72.217.79.176
bd052e94-4e73-47a5-acf6-b3b8380f1a11,"2020-07-15, 12:31:44 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,72.217.79.176
e2b9c099-e44d-4a3d-b7a1-57cb34583352,"2020-07-15, 12:31:44 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,72.217.79.176
53709a7d-6633-4e5d-8635-169ad248db96,"2020-07-15, 12:27:48 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::253693750277:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATWEKTNQC743GMZGOR""}]",,us-east-1,,72.217.79.176
dde7e49d-22c0-44b9-a3ef-9d564ee27c41,"2020-07-15, 12:27:48 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,72.217.79.176
3f71b265-51a5-4aae-bd9e-ae982a08c5f6,"2020-07-15, 12:27:24 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::253693750277:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATWEKTNQCS3B23RTDL""}]",,us-east-1,,72.217.79.176
6ffe755c-b219-438a-97f4-df6e68c29cd7,"2020-07-15, 12:27:24 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,72.217.79.176
81544e08-410a-4bee-9373-ce47493749c4,"2020-07-15, 12:27:24 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,72.217.79.176
066c2a4c-6417-4836-ad99-0516a8514858,"2020-07-15, 12:22:26 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,72.217.79.176
38dd9b82-7245-4ce9-89e3-17fad2621629,"2020-07-15, 12:20:00 AM",root,ConsoleLogin,,,,us-east-1,,72.217.79.176